segment_id,candidate_token_i,candidate_token_text,candidate_name,score,ent_type,pos,dep,morph,head_i,head_text,head_pos,head_dep,important_verbs,important_lemmas,child_texts,child_deps,reasons
seg_000001,38,Paul,Paul Christophe,13,PER,PROPN,appos,Gender=Masc|Number=Sing,37,monsieur,NOUN,obl:agent,entendu | est | appelle | être | posée,entendre | être | appeler | être | poser,"Christophe | , | président",flat:name | punct | appos,ent_type=PER | pos=PROPN | dep=appos | head.dep=obl:agent | head.title=monsieur | has flat:name child | has appos child | name extended with flat:name
seg_000001,39,Christophe,Paul Christophe,8,PER,PROPN,flat:name,,38,Paul,PROPN,appos,entendu | est | appelle | être | posée,entendre | être | appeler | être | poser,,,ent_type=PER | pos=PROPN | dep=flat:name | head.pos=PROPN | name rebuilt from head PROPN
seg_000007,4,Alfandari,Henri Alfandari,8,PER,PROPN,flat:name,,3,Henri,PROPN,nmod,,,,,ent_type=PER | pos=PROPN | dep=flat:name | head.pos=PROPN | name rebuilt from head PROPN
seg_000008,19,Roland,Roland Lescure,10,PER,PROPN,appos,Gender=Masc|Number=Sing,18,ministre,NOUN,obl:arg,indiqué,indiquer,Lescure,flat:name,ent_type=PER | pos=PROPN | dep=appos | head.title=ministre | has flat:name child | name extended with flat:name
seg_000008,20,Lescure,Roland Lescure,8,PER,PROPN,flat:name,,19,Roland,PROPN,appos,indiqué,indiquer,,,ent_type=PER | pos=PROPN | dep=flat:name | head.pos=PROPN | name rebuilt from head PROPN
seg_000014,4,Agnès,Agnès Pannier,12,PER,PROPN,appos,,3,ministre,NOUN,nsubj,posait,poser,Pannier,flat:name,ent_type=PER | pos=PROPN | dep=appos | head.dep=nsubj | head.title=ministre | has flat:name child | name extended with flat:name
seg_000014,5,Pannier,Agnès Pannier,8,PER,PROPN,flat:name,,4,Agnès,PROPN,appos,posait,poser,,,ent_type=PER | pos=PROPN | dep=flat:name | head.pos=PROPN | name rebuilt from head PROPN
seg_000014,6,-,-,8,PER,PROPN,nmod,Gender=Masc|Number=Sing,3,ministre,NOUN,nsubj,posait,poser,,,ent_type=PER | pos=PROPN | head.dep=nsubj | head.title=ministre
seg_000014,7,Runacher,Runacher,8,PER,PROPN,nmod,,3,ministre,NOUN,nsubj,posait,poser,,,ent_type=PER | pos=PROPN | head.dep=nsubj | head.title=ministre
seg_000050,20,Marc,Marc Angeli,10,PER,PROPN,appos,Gender=Masc|Number=Sing,19,ministre,NOUN,appos,dis,dire,Angeli,flat:name,ent_type=PER | pos=PROPN | dep=appos | head.title=ministre | has flat:name child | name extended with flat:name
seg_000050,21,Angeli,Marc Angeli,8,PER,PROPN,flat:name,,20,Marc,PROPN,appos,dis,dire,,,ent_type=PER | pos=PROPN | dep=flat:name | head.pos=PROPN | name rebuilt from head PROPN
